"FMS_Temp","CYCLE","Bottle","DateTime","CO2_Samp","CO2_Samp_stdv","O2_Samp","O2_Samp_stdv","FlowRate_Samp","FlowRate_Samp_stdv","CO2_BG","CO2_BG_stdv","O2_BG","O2_BG_stdv","FlowRate_BG","FlowRate_BG_stdv"
24.24,0,3,"2023-11-06 14:11:41",0.01309,7.7888809636986e-05,21.8752424242425,0.000658536281209155,47.17,0.0483045891539655,0.072421,8.71078514129325e-05,20.95,0.000315694947161427,47.1,0
24.22,0,4,"2023-11-06 14:20:11",0.016086,9.64019363567629e-05,21.8739,0.000316227766017224,47.18,0.042163702135579,0.07024,0.000120369800568454,20.95,0,47.07,0.0483045891539655
24.192,0,5,"2023-11-06 14:28:41",0.015594,0.000107206964947867,21.8830787878787,0.000293590337362629,47.1,0,0.068693,0.000137036086082788,20.95,0.000302625992907146,47.1,0
24.17,0,6,"2023-11-06 14:37:11",0.016587,6.11101010017537e-05,21.8703181818182,0.000380058475032925,47.16,0.051639777949433,0.067625,5.98609499868922e-05,20.95,0.000269679944986212,47.02,0.042163702135579
24.147,0,8,"2023-11-06 14:54:11",0.018786,0.000190157829184076,21.8538000000001,0.000632455532034199,47.13,0.0483045891539655,0.065677,0.000128499891915216,20.95,2.368475785867e-15,47,0
24.14,0,9,"2023-11-06 15:02:41",0.018624,0.00010373041983912,21.8673090909091,0.000220192753024824,47.15,0.0527046276694737,0.064966,7.93305321634323e-05,20.95,0.000467099366497715,47.07,0.0483045891539655
24.235,0,10,"2023-11-06 15:13:41",0.50712,0.000311982905514587,20.8602272727272,0.000875595035768663,47.26,0.0516397779494293,0.064447,5.29255241930695e-05,20.95,0.000269679944986105,47.1,0
25.88,1,1,"2023-11-06 15:54:50",0.006313,0.000139765676918349,21.8697090909091,0.00052800367308271,46.89,0.0316227766016842,0.060462,0.000111534747948789,20.95,0.000291287632502,46.86,0.051639777949433
26,1,2,"2023-11-06 16:03:20",0.02027,4.39696865275767e-05,21.8551030303031,0.000420036875084329,46.83,0.0483045891539655,0.060083,0.000117288817312934,20.95,0.000288966578519391,46.77,0.0483045891539621
26.083,1,3,"2023-11-06 16:11:50",0.020458,6.62989860824092e-05,21.8423,0.000483045891540238,46.9,0,0.059697,9.25022522248328e-05,20.95,0,46.8,0
